枴,(*kʷroːlʔ)
某,(*mɯʔ)
柬,(*kreːnʔ)
栗,(*riɡ)
桀,(*ɡrad)
桑,(*sŋaːŋ)
桰,()
桼,(*sʰiɡ)
梟,(*keːw)
棘,(*krɯɡ)
棥,(*ban)
業,(*ŋab)
樂,(*ŋraːwɢs)
欠,(*kʰoms)
次,(*sn̥ʰis)
欮,(*kod)
款,(*kʰloːnʔ)
止,(*kjɯʔ)
正,(*tjeŋ)
此,(*sʰeʔ)
步,(*baːs)
武,(*maʔ)
歰,(*srɯb)
歲,(*sqʰʷads)
殳,(*djo)
段,(*doːns)
殷,(*qrɯːn)
殸,(*kʰreːŋ)
殻,()
殿,(*tɯːns)
毀,(*hmralʔ)
毄,()
毌,(*koːn)
母,(*mɯʔ)
毒,(*l'uːɡ)
比,(*piʔ)
毚,(*zrɯːm)
毛,(*maːw)
毳,(*skʰods)
氏,(*skeŋ)
氐,(*tiːl)
民,(*min)
气,(*kʰɯds)
水,(*qʰʷljilʔ)
永,(*ɢʷraŋʔ)
氾,(*pʰoms)
求,(*ɡu)
沒,(*mɯːd)
沓,(*duːb)
沙,(*sraːl)
沿,(*lon)
泉,(*sɡʷen)
法,(*pqab)
津,(*ʔslin)
派,(*m̥ʰreːɡs)
流,(*ru)
淫,(*lɯm)
淵,(*qʷiːn)
濕,(*ŋ̊ʰl'ɯːb)
火,(*qʰʷaːlʔ)
灰,(*hmɯː)
災,(*ʔslɯː)
炎,(*ɦlam)
炭,(*tŋ̊ʰaːns)
烏,(*qaː)
焉,(*qran)
無,(*ma)
焦,(*ʔsew)
煩,(*ban)
熏,(*qʰun)
熒,(*ɡʷeːŋ)
燕,(*qeːn)
燮,(*seːb)
爪,(*ʔsruːʔ)
爭,(*ʔsreːŋ)
爯,(*tʰjɯŋ)
爰,(*ɢʷan)
爲,(*ɢʷal)
爵,(*ʔsewɢ)
父,(*paʔ)
爻,(*ɢraːw)
爽,(*sraŋʔ)
爾,(*njelʔ)
爿,(*braːn)
牆,(*zaŋ)
片,(*pʰeːns)
牙,(*ŋraː)
牟,(*mu)
牢,(*ruː)
牽,(*kʰiːn)
犀,(*sliːl)
犬,(*kʰʷeːnʔ)
犮,(*boːd)
狄,(*deːɡ)
狊,(*kʷeːɡ)
猋,(*pew)
猒,(*qem)
獄,(*ŋoɡ)
玄,(*ɡʷeːn)
率,(*sruds)
玉,(*ŋoɡ)
王,(*ɢʷaŋ)
班,(*praːn)
瑣,(*soːlʔ)
瓜,(*kʷraː)
瓦,(*ŋʷraːlʔ)
甘,(*kaːm)
甚,(*ɡljumʔ)
甜,(*l'iːm)
生,(*sʰleːŋ)
甤,(*njolʔ)
用,(*loŋs)
甫,(*paʔ)
田,(*l'iːŋ)
由,(*lɯw)
甲,(*kraːb)
申,(*hlin)
甹,(*pʰleːŋ)
甾,(*ʔsrɯ)
畀,(*pids)
畁,(*ɡlɯ)
畏,(*quls)
畐,(*pʰrɯɡ)
畜,(*l̥ʰuɡs)
畝,(*mɯʔ)
畟,(*sklɯɡ)
畢,(*pid)
番,(*paːl)
畫,(*ɡʷreːɡs)
異,(*lɯɡs)
畺,(*kaŋ)
畾,(*ruːl)
疊,(*l'ɯːb)
疋,(*ŋraːʔ)
疌,(*zeb)
疐,(*tiːɡs)
疑,(*ŋɯ)
疹,(*kljɯnʔ)
疾,(*zid)
癸,(*kʷilʔ)
癹,(*pʰaːd)
登,(*tɯːŋ)
發,(*pad)
白,(*braːɡ)
皃,(*mreːwɢs)
皆,(*kriːl)
皋,(*kuː)
皐,()
皮,(*bral)
皿,(*maŋʔ)
盈,(*leŋ)
益,(*qleɡ)
盍,(*ɡaːb)
盡,(*ʔslinʔ)
監,(*kraːm)
目,(*muɡ)
直,(*dɯɡ)
相,(*slaŋ)
盾,(*l'uːnʔ)
省,(*sreŋʔ)
眉,(*mril)
眔,(*l'uːb)
真,(*ʔljin)
眾,(*tjuŋ)
睘,(*ɡʷeŋ)
睪,(*neb)
睿,(*ɢʷeds)
瞿,(*kʷas)
矍,(*kʷaɡ)
矛,(*mu)
矞,(*ɢʷid)
矢,(*hliʔ)
矣,(*ɢlɯʔ)
石,(*djaɡ)
砉,(*qʰʷraːɡ)
磊,(*ruːlʔ)
示,(*ɡle)
祘,(*sloːns)
祝,(*tjuɡs)
票,(*pʰew)
祭,(*ʔsreːds)
禀,()
禹,(*ɢʷaʔ)
禺,(*ŋo)
离,(*rel)
禾,(*ɡoːl)
禿,(*tʰoːɡ)
秀,(*slus)
秉,(*praŋʔ)
秋,(*sʰɯw)
秝,(*reːɡ)
秦,(*zin)
秭,(*ʔsiʔ)
穴,(*ɡʷliːɡ)
突,(*tʰuːd)
竄,(*sʰoːn)
立,(*rɯb)
竟,(*kraŋs)
章,(*kjaŋ)
竹,(*tuɡ)
筮,(*djads)
算,(*sloːnʔ)
簋,(*kʷrɯwʔ)
米,(*miːʔ)
粟,(*soɡ)
粥,(*ʔljuɡ)
粦,(*rins)
粲,(*sʰaːns)
糞,(*pɯns)
系,(*ɡeːɡs)
素,(*saːs)
索,(*slaːɡ)
絕,(*zod)
絲,(*slɯ)
綿,(*men)
緐,(*ban)
縣,(*ɡʷeːn)
繇,(*lɯːw)
繭,(*keːnʔ)
繼,(*keːɡs)
缶,(*puʔ)
罙,(*hljum)
罪,(*zuːlʔ)
罰,(*bad)
罷,(*breːlʔ)
罽,(*krads)
羅,(*raːl)
羊,(*laŋ)
羋,(*meʔ)
羍,(*tʰaːd)
美,(*mriʔ)
羔,(*kluː)
羴,(*qʰreːn)
羽,(*ɢʷaʔ)
翏,(*ɡ·rɯːw)
習,(*ljub)
翟,(*r'aːwɢ)
翪,(*ʔsoːŋ)
老,(*ruːʔ)
者,(*tjaːʔ)
而,(*njɯ)
耎,(*njonʔ)
耑,(*toːn)
耒,(*ruːls)
耳,(*njɯʔ)
耴,(*ŋrid)
耶,(*laː)
耿,(*kreːŋʔ)
聖,(*hljeŋs)
聶,(*neb)
聿,(*b·lud)
肁,(*dawʔ)
肅,(*sɯwɢ)
肉,(*njuɡ)
肖,(*slew)
肘,(*tkuʔ)
肙,(*qʷeːns)
股,(*klaːʔ)
肥,(*bɯl)
肩,(*keːn)
肯,(*kʰɯːŋʔ)
肰,(*njen)
育,(*luɡ)
胃,(*ɢuds)
胤,(*lins)
能,(*nɯː)
脊,(*ʔseɡ)
臣,(*ɡiŋ)
臦,(*kʷaŋs)
自,(*ɦljids)
臬,(*ŋeːd)
臭,(*kʰljus)
臱,(*men)
至,(*tjiɡs)
臺,(*dɯː)
臼,(*ɡuʔ)
臽,(*kʰloːmʔ)
臾,(*ɡruds)
臿,(*sʰreːb)
舀,(*lowʔ)
舁,(*la)
舂,(*hljoŋ)
舄,(*sʰjaːɡ)
興,(*qʰɯŋ)
舌,(*ɡroːd)
舛,(*tʰjonʔ)
舟,(*tjɯw)
般,(*praːn)
艮,(*kɯːns)
良,(*raŋ)
色,(*srɯɡ)
芇,(*men)
芻,(*sʰro)
苗,(*mrew)
若,(*nja)
茍,(*kɯɡ)
茸,(*njoŋ)
茻,(*maːŋʔ)
莫,(*maːɡ)
莽,(*maːŋʔ)
菐,(*boːɡ)
華,(*qʰʷraː)
萈,(*ɡoːn)
萬,(*mlans)
葬,(*ʔsaːŋs)
蒦,()
蔑,(*meːd)
薛,(*sŋed)
薦,(*ʔseːns)
虍,(*qʰaː)
虐,(*ŋawɢ)
虒,(*sle)
虔,(*ɡren)
蚤,(*ʔsuːʔ)
蜀,(*djoɡ)
蟲,(*l'uŋ)
蠃,(*roːl)
蠡,(*reːlʔ)
血,(*qʰʷiːɡ)
行,(*ɡaːŋ)
衍,(*lanʔ)
衛,(*ɢʷads)
衣,(*qɯl)
表,(*prawʔ)
衰,(*sʰrol)
袁,(*ɢʷan)
褱,(*ɡruːl)
襄,(*snaŋ)
襾,(*qraːs)
西,(*sɯːl)
要,(*qew)
覃,(*l'ɯːm)
見,(*keːns)
規,(*kʷel)
覓,(*meːɡ)
角,(*kroːɡ)
解,(*kreːʔ)
言,(*ŋan)
設,(*hljed)
詹,(*tjam)
誩,(*ɡaŋʔ)
謠,(*lew)
譶,(*l'uːb)
谷,(*ɦkroːɡ)
豆,(*doːs)
豈,(*ŋ̊ʰɯːlʔ)
豊,(*riːʔ)
豐,(*pʰuŋ)
豔,(*lams)
豖,(*tʰoɡ)
豙,(*ŋɯs)
豚,(*duːn)
象,(*ljaŋʔ)
豩,()
貝,(*paːds)
貞,(*teŋ)
負,(*bɯʔ)
貴,(*kluds)
買,(*mreːʔ)
賏,(*qreŋs)
賓,(*mpin)
質,(*tids)
賴,(*raːds)
贊,(*ʔsaːns)
贏,(*leŋ)
赤,(*kʰljaɡ)
足,(*ʔsoɡs)
蹋,(*daːb)
身,(*qʰjin)
躬,(*kuŋ)
車,(*kʰlja)
軍,(*kun)
輦,(*renʔ)
辛,(*siŋ)
辟,(*peɡ)
辡,(*prenʔ)
辭,(*ljɯ)
辰,(*djɯn)
辱,(*njoɡ)
農,(*nuːŋ)
追,(*tul)
退,(*n̥ʰuːbs)
逐,(*l'ɯwɢ)
連,(*ren)
進,(*ʔslins)
遂,(*ljuds)
遣,(*kʰenʔ)
遷,(*sʰen)
邑,(*qrɯb)
邕,(*qoŋ)
郤,(*kʰraɡ)
部,(*boːʔ)
郭,(*kʷaːɡ)
郵,(*ɢʷɯ)
鄉,(*qʰaŋ)
酉,(*luʔ)
配,(*pʰɯːds)
醯,(*qʰeː)
釁,(*hmrɯns)
采,(*sʰɯːʔ)
里,(*rɯʔ)
重,(*doŋ)
量,(*raŋ)
釐,(*rɯ)
金,(*krɯm)
長,(*taŋʔ)
門,(*mɯːn)
閉,(*piːds)
